Name,Year of release,Number of Episodes,Rating,Synopsis,Genre,Director,Cast,Rank
One Dollar Lawyer,2022,12,8.4,"Cheon Ji Hun is a lawyer with unusual flair. His hair has a stylish perm. His retainer is only 1,000 won despite being one of the most skilled lawyers around. He argues against the most expensive lawyers and their rich clients intent on flouting the law. Since graduating from the Judicial Research and Training Institute,  Baek Ma Ri has been the Prosecutor’s Assistant. Confident and self-assured, she is also a lawyer with her grandfather Baek Hyun Mu's renowned Baek Law Firm. Ma Ri’s life has been going smoothly, but her life changes when she meets Cheon Ji Hun.","Comedy, Law, Drama",Kim Jae Hyun,"Namkoong Min, Kim Ji Eun, Choi Dae Hoon, Lee Deok Hwa, Park Jin Woo, Ha Sung Kwang",#141
If You Wish Upon Me,2022,16,8.4,"Yoon Kyeo Re is a young man who has known nothing but misery ever since he was a child. He was abused while still a boy and had a torrid time at the orphanage where he was raised. He then spent time in a juvenile detention center. And as an adult, things got no better, leading to him serving time in prison. Beatings and misery are all he knows, and he finds himself at the end of his tether, finally facing the void… But when he is ordered by a court to serve his community service at an end-of-life care facility for the terminally ill, things begin to change for him. Here he meets the tireless Kang Tae Shik, a middle-aged man who leads the volunteer team at the facility. Kang Tae Shik has created a unit called Team Genie, which is dedicated to granting dying patients their last wishes. No matter what people ask for, Team Genie will work their hardest to make those precious last wishes come true. He also meets Seo Yeon Joo, a young nurse who refuses to give up on her patients and tries to keep them physically active at all times. Will working at this facility help turn Yoon Gyeo Ree’s life around? Or is it too late to change his destiny?","Romance, Life, Drama, Medical",Kim Yong Wan,"Ji Chang Wook, Choi Soo Young, Sung Dong Il, Won Ji An, Yang Hee Kyung, Kil Hae Yeon",#142
I'm Not a Robot,2017,32,8.4,"Kim Min Kyu is the largest shareholder of a financial company. He suffers from a ""human allergy"", preventing him from normal interactions with other people. He becomes interested in a robotic project named Aji-3 created by the Santa Maria robotic team. The team is headed by Hong Baek Gyun, inventor of Aji-3 and world-renowned robotics professor. He modeled Aji-3 after his ex-girlfriend, Jo Ji Ah, a struggling inventor that also works as a personal shopper to make ends meet. Just when Kim Min Kyu wants to test the robot, an accident causes the malfunction of the robot's battery. Hong Baek Gyun begs Jo Ji Ah to take the place of Aji-3 and pretend to be the robot so they can get funding from Kim Min Kyu. But, Aji-3 becomes the closest thing that the lonely Min Kyu has to real contact with another person.","Comedy, Romance, Drama, Sci-Fi",Jeong Dae Yun,"Yoo Seung Ho, Chae Soo Bin, Uhm Ki Joon, Park Se Wan, Song Jae Ryong, Go Geon Han",#143
Memorist,2020,16,8.4,"Dong Baek has an extraordinary ability. He can peer into the memories of whoever he touches. With his supernatural power, get it done attitude, and eye-pleasing looks, he is fervently revered worldwide as a superstar detective. However, when his punches meet with suspects before words, he can be a bit of a headache to his comrades. Starting from the age of twenty, Han Sun Mi is the youngest to have passed the bar exam, obtain a doctorate in criminal psychology, and become a senior superintendent in the police force. Having solved five cold cases that even a detective with supernatural powers couldn't do, she is a genius profiler. She has a secret that drives her to do what she does. These two highly-skilled professionals meet their match—a serial killer with abilities that transcend theirs combined. It's going to be a fight worth watching.","Action, Thriller, Mystery, Supernatural","So Jae Hyun, Kim Hwi","Yoo Seung Ho, Lee Se Young, Jo Sung Ha, Ko Chang Seok, Yun Ji On, Jeon Hyo Sung",#144
Voice 2,2018,12,8.4,"Listen closely, because skilled voice profiler Kang Kwon Joo is back. Working tirelessly at the Emergency Call Center, she uses her first-rate hearing to save lives and catch culprits. When it comes to responding to emergencies within the vital “golden time,” Kang Kwon Joo is simply the best. Do Kang Woo is a mysterious man who’s able to tap into the mind of a criminal. He also hides a secret pain that he doesn’t share with anyone. When he meets Kang Kwon Joo, they reluctantly form a team. She can hear crime; he can think it. Together, they take on the most dangerous criminals their city has ever seen.","Thriller, Mystery, Psychological",Lee Seung Young,"Lee  Ha Na, Lee Jin Wook, Kwon Yool, Ahn Se Ha, Son Eun Seo, Kim Woo Seok",#145
Doom at Your Service,2021,16,8.4,"Tak Dong Kyung has been working hard ever since her parents passed away. Her life seemed more stable after working as a web novel editor for 6 years, but then she gets diagnosed with glioblastoma (brain cancer). She blames her unlucky life and wishes to curse everything to disappear, which unintentionally calls Myeol Mang, Doom himself - neither human nor god - to appear. Myeol Mang says that he can grant Dong Kyung's wishes. As her last hope, she makes a contract with Myeol Mang for a hundred days to live how she wants, risking her everything.","Comedy, Romance, Drama, Fantasy",Kwon Young Il,"Park Bo Young, Seo In Guk, Lee Soo Hyuk, Kang Tae Oh, Shin Do Hyun, Dawon",#146
Duel,2017,16,8.4,"Jang Deuk Cheon, a hardened detective cop whose daughter is kidnapped, begins a chase against great odds to solve the mystery of his situation and find his child before it is too late. He starts to hunt down the suspect using the one clue he has: Two men with the same face were at the crime scene.","Thriller, Mystery, Sci-Fi",Lee Jong Jae,"Jung Jae Young, Kim Jung Eun, Yang Se Jong, Seo Eun Soo, Kim Ki Doo, Yoon Gyung Ho",#147
Search: WWW,2019,16,8.4,"This drama is about the conflicts, the wins, and losses one experiences when working. It will follow the story of 21st century women, who chose not to be a wife or a mother and successfully work without discrimination or impediments. Bae Ta Mi works as a director for a big web portal company. She is in her late 30's and is quite competitive. With her competitiveness, Ta Mi enjoys success. The methods she uses to win has her wondering if she is doing the right thing with her life. Has she sacrificed too much of her personal life for success? Park Mo Gun is a man in his 20's and is a gifted composer. He creates music for video games. Mo Gun meets Ta Mi at an arcade. He falls in love with her due to her competitive spirit.","Business, Comedy, Romance, Drama","Jung Ji Hyun, Kwon Young Il","Im Soo Jung, Lee Da Hee, Jeon Hye Jin, Jang Ki Yong, Lee Jae Wook, Ji Seung Hyun",#148
"From Now On, Showtime!",2022,16,8.4,"Cha Cha Woong is a popular if somewhat sardonic stage and TV magician with a taste for the spectacular. His tricks dazzle audiences, but little do most people know – he has a gang of secret helpers! However, these are no ordinary magician’s assistants: They are actually ghosts. But Cha Cha Woong is not afraid of beings from the spirit realm – in fact, he treats them as his employees...and they, in turn, believe him to be their “boss.” One day, his path crosses with that of Go Seul Hae, a young, passionate police officer. He attempts to brush her off when she investigates an incident connected to one of his magic shows. But she soon realizes that the magician’s unusual abilities could be the perfect crime-fighting tool. She manages to convince him to join the police force in its efforts to catch fiendish criminals – and use his ghostly retinue to help foil evil masterminds! But in the course of their unorthodox partnership, could romance also make an appearance on the scene?","Mystery, Comedy, Romance, Fantasy",Lee Hyung Min,"Park Hae Jin, Jin Ki Joo, Jung Joon, Go Gyu Pil, Jung Suk Yong, Park Seo Yeon",#149
Hello Monster,2015,16,8.4,"Genius profiler Lee Hyun, returns home to Korea after something from a case he’s been sent triggers a memory he thought he’d lost forever. Unbeknownst to him, one of his team members, Detective Cha Ji An, has been investigating him for some time. She is aware that his father was murdered and his brother disappeared under mysterious circumstances involving a criminal named Lee Joon Young -- whom they both want found and incarcerated. Each seeks to unravel the other, unaware that they’ve been drawn into a dangerous game of cat and mouse by a master player and that both truth and evil are closer and far more twisted than they think.","Thriller, Mystery, Psychological, Drama","Kim Jin Won, No Sang Hoon","Seo In Guk, Jang Na Ra, Park Bo Gum, Choi Won Young, Lee Chun Hee, Min Sung Wook",#150
Moon Embracing the Sun,2012,20,8.4,"Thirteen-year-old Heo Yeon Woo, the daughter of a high-ranking official, accompanies her mother to the royal palace to attend her brother, Heo Yeom's civil service examination congratulatory ceremony. By chance, she comes across Crown Prince Lee Hwon. They fall in love and Yeon Woo is chosen as the Crown Princess of Joseon. Before they can marry, however, the Dowager Queen secretly orders her death, in order to install Yoon Bo Gyeong, the daughter of a family clan, as Crown Princess, thus securing more power for herself. She orders the head shaman to cast a spell on Yeon Woo to strike her with an unknown sickness. After dying, Yeon Woo is resurrected from her grave but loses her memories. All believe her to be dead, including Crown Prince Lee Hwon, who refuses to love another. Eight years later, Yeon Woo returns as a shaman named Wol (meaning moon). Meanwhile, the young king begins to investigate the death of his love after seeing the grown-up Wol. But he is fighting against time because the queen's powerful political clan wants him removed from power.","Historical, Romance, Supernatural, Political","Lee Sung Joon, Kim Do Hoon","Han Ga In, Kim Soo Hyun, Jung Il Woo, Kim Min Seo, Kim Yoo Jung, Yeo Jin Goo",#151
Train,2020,12,8.4,"Haunted by the thought that his drunkard father killed another man before also dying on the same day and not paying for his crime, Seo Do Won lives his life trying to secretly repay Han Seo Kyung for his father’s sin while hiding the truth. He is now a detective who overworks to escape his guilt, and she is a prosecutor who is still looking for her father’s killer. One day, Do Won stumbles upon corpses buried in an abandoned, old train station. Classifying it as a serial murder case, Do Won and the police start investigating. However, the case becomes weird when a dead victim turns up alive and Seo Kyung is killed along with the discovery of a new corpse. Realizing that the mysterious train that shows up in the abandoned station is a portal between parallel universes, Do Won travels to the other world to track the serial killer with the help of the other Seo Kyung.","Thriller, Mystery, Sci-Fi",Lee Seung Hoon,"Yoon Shi Yoon, Kyung Soo Jin, Shin So Yool, Lee Hang Na, Nam Moon Chul, Jo Wan Ki",#152
Sh**ting Stars,2022,16,8.4,"As one of the nation’s most beloved stars, Gong Tae Sung is used to living his life in the spotlight. With the eyes of the world constantly on him, Tae Sung does his best to keep a smile on his face and his temper in check. Seen by the people as a kind and polite young man, the only people who don’t buy into his whole good guy persona are those working for his management company. As the head of that company’s PR team, Oh Han Byeol knows exactly what Tae Sung is really like. Well aware of his strong desire to win and his hot temper, Han Byeol has had to employ her excellent speech and crisis management skills on a number of occasions, in order to keep Tae Sung’s reputation as spotless as it seems. Constantly bickering, there isn’t anyone in the world better suited to the role of natural enemies than Han Byeol and Tae Sung. Forever at odds with each other, Tae Sung and Han Byeol seem destined to hate each other forever. But could the time they’re forced to spend together change those feelings or will their mutual loathing last for all eternity?","Comedy, Romance, Drama",Lee Soo Hyun,"Lee Sung Kyung, Kim Young Dae, Yoon Jong Hoon, Kim Yoon Hye, Park So Jin, Lee Jung Shin",#153
The Crowned Clown,2019,16,8.4,"Joseon is in a state of disorder due to uprisings and a power struggle surrounding King Lee Hun. To avoid assassination, a clown named Ha Sun is brought to the palace to take the place of King Lee Hun. Ha Sun looks almost identical to King Lee Hun. When Ha Sun was a child, his parents died during an epidemic. Ha Sun almost died from starvation around that time, but he was saved by a group of clowns. Ha Sun grew up with the clowns and became one of them. During their performance, Ha Sun would play King Lee Hun due to their similar physical appearance. Now, Ha Sun is nervous that someone in the palace will find out he is not the real king. He falls for beautiful Queen Yoo So Woon.","Historical, Romance, Melodrama, Political",Kim Hee Won,"Yeo Jin Goo, Lee Se Young, Kim Sang Kyung, Jang Gwang, Yoon Jong Seok, Yoon Gyung Ho",#154
Mad Dog,2017,16,8.4,"Choi Kang Woo, who is a former police and leader of Taeyang Insurance's investigators team, decides to create his own investigation team, after an airplane crash that took the life of his wife and son. He then meets Kim Min Joon, a genius former swindler whose brother was also a victim of the crash, thus begin their rivalry and cooperation. The drama portrays the reality of Korea through diverse insurance crimes that are prevalent in the country. There are the 'copy cats' that imitate and improve the existing crimes, and the 'mad dogs' who catch these bad cats.","Action, Thriller, Mystery",Hwang Eui Kyung,"Yoo Ji Tae, Woo Do Hwan, Ryu Hwa Young, Jo Jae Yoon, Kim Hye Sung, Hong Soo Hyun",#155
Birthcare Center,2020,8,8.4,"Oh Hyun Jin  has had a glittering career in her work life. She is the youngest member on the board of executives at the company she works at and is used to acing everything she does. But when she delivers her first child, she is in for a shock. Giving birth was far more difficult than she had expected, and she quickly discovers that although she is a dab hand at all things work-related, she hasn’t got the first clue about how to bring up a baby. After being discharged from hospital, she heads to a birth care center – an exclusive establishment where even A-list stars come to get postpartum care. She is dismayed to realize that she is the oldest mother in the center, and embarrassed to notice that everyone else seems to know what they are doing when it comes to looking after babies. Fortunately, the other mothers at the center prove inspirational. Among their number is Cho Eun Jung, aka the Queen Bee – a seemingly perfect mother whom everyone wants to befriend in order to learn childcare secrets. And Choi Hye Sook is the charismatic center manager – a veritable font of knowledge about all things childcare-related.","Comedy, Life, Drama, Melodrama",Park Soo Won,"Uhm Ji Won, Park Ha Sun, Choi Ri, Jang Hye Jin, Yoon Park, Im Hwa Young",#156
Nine: Nine Times Time Travel,2013,20,8.4,"Park Sun Woo works as an anchorman at a TV broadcasting station. He is in love with news reporters Joo Min Young, who is bright and honest. Park Sun Woo then obtains 9 incense items, which allows him to go back 20 years in time. Sun Woo travels to the past in an attempt to keep his family safe in order to change the world he lives in today. However, this is not without consequences for his actions in the past affects the lives of many in the present, including his crush.","Mystery, Romance, Supernatural",Kim Byung Soo,"Lee Jin Wook, Lee Seung Joon, Jo Yoon Hee, Oh Min Suk, Lee Yi Kyung, Jo Min Ah",#157
Extraordinary You,2019,32,8.4,"What would you do if you found out that you were, in fact, a character in a comic? And an extra character on top of that? Change the course of the story, obviously! Eun Dan Oh is a 17-year-old high-school student from a wealthy family who suffers from a lifelong heart condition that inevitably means she will not live past her teenage years. However, when Dan Oh realizes she is experiencing long gaps in her memory as well, she comes into the unhappy realization of another fact in her life: she is a character in a Korean webtoon and all of her actions are predetermined by the artist who draws her. To make matters worse, she discovers she is only a supporting character in the cast. With her newfound understanding of the world she inhabits, she is determined to find true love in her own plot-line and circumvent the author’s plans for her character by utilizing the flashes of storyboard she alone is able to see.","Comedy, Romance, Youth, Fantasy","Kim Sang Hyub, Kim Sang Woo","Kim Hye Yoon, Rowoon, Lee Jae Wook, Lee Na Eun, Kim Young Dae, Jung Gun Joo",#158
Pinocchio,2014,20,8.4,"The idealistic Choi In Ha has her work cut out for her when she becomes a broadcast reporter, especially when she suffers from a condition known as “Pinocchio syndrome,” which makes her break out into hiccups whenever she tells a lie. Her rookie colleagues include Choi Dal Po, whose shabby appearance masks his true eloquence and sharp memory; Seo Bum Jo, a wealthy heir who has had everything handed to him in life; and Yoon Yoo Rae, whose fangirl knowledge comes in handy in covering the news. The 20-something newbie reporters pursue justice as they try to discover themselves in the process.","Thriller, Mystery, Comedy, Romance",Jo Soo Won,"Lee Jong Suk, Park Shin Hye, Kim Young Kwang, Lee Yoo Bi, Jin Kyung, Lee Pil Mo",#159
Doctor Prisoner,2019,32,8.4,"Doctor Prisoner centers around an ace doctor in a university hospital’s emergency care center, a skilled professional who treats his patients with full devotion and without discrimination. However, his medical license gets suspended as a result of a medical malpractice incident that arises when the hospital board director causes a ruckus. He then gets his certificate as a medical internist and applies to work at a prison, where his plan is to cozy up to all the bigshots there—business tycoons, celebrities caught for doing drugs, sports stars guilty of gambling—and to win allies, with the ultimate goal of getting revenge against the hospital that ousted him. To do so, he’ll get rid of the existing prison chief doctor and claim the spot for himself.","Thriller, Law, Crime, Medical","Song Min Yeop, Hwang In Hyuk","Namkoong Min, Kwon Na Ra, Kim Byung Chul, Choi Won Young, Lee Da In, Jin Hee Kyung",#160
Love All Play,2022,16,8.4,"A sports romance drama that depicts the passion and affection for badminton of a male and female protagonist who is a mixed doubles group with players from the badminton business team. Park Tae Joon, who naturally wound up in the world of badminton because of his parents’ badminton equipment business. Although he had begun to see the sport as work, his passion for badminton is reignited due to a desire to impress a woman. Park Tae Yang is a former aspiring Olympian who had to leave the badminton world for three years due to a bribing scandal.","Romance, Drama, Sports, Melodrama",Jo Woong,"Park Ju Hyun, Chae Jong Hyeop, Park Ji Hyun, Kim Moo Joon, Seo Ji Hye, Jo Han Chul",#161
My Unfamiliar Family,2020,16,8.4,"Is blood thicker than water? Kim Eun Hee, is about to find out. She is the middle child in a family that is slowly starting to drift apart. Her older sister is a former patent attorney, and her younger brother is a sensitive soul. And although her father is hard-working, he is often distant – an attitude that has her mother poised to begin a new chapter in her life. While she pines for intimacy, Kim Eun Hee keeps her feelings hidden from her family. Instead, she prefers to confide in her close male college friend Park Chan Hyuk – a man who has become more like a brother to her than any of her real siblings. And it is to him that she turns for love advice as she looks to return to the dating scene after a long absence. But what happens when events take a turn? Could the family pull together in time to weather the storm? And when the going gets tough, will it be Kim Eun Hee’s family or her friends who step up to the plate?","Life, Drama",Kwon Young Il,"Han Ye Ri, Kim Ji Suk, Choo Ja Hyun, Jung Jin Young, Won Mi Kyung, Shin Jae Ha",#162
Her Private Life,2019,16,8.4,"A dedicated professional, Sung Deok Mi lives for her work as an art gallery curator. Devoting herself to her work, she is exceptional in every way, save one. Beneath that cool, professional facade, Deok Mi carries a dark secret. A secret she desperately wants to keep from the world. A secret that has driven lovers away. A secret that rules every moment of her personal life... Sung Deok Mi is the ultimate Cha Shi An fangirl. The devoted manager of a Shi An fansite, Deok Mi eats, breathes, and sleeps for Shi An. He is her sun, her moon. Her entire universe revolves around him. This is the secret Deok Mi must hide from the world. And hide it she does. At least until Ryan Gold, the art gallery’s new director, saunters into her life. A once famous painter, the former artist turned director considers himself an indifferent being, unconcerned with the lives of others. But when he uncovers Deok Mi’s secret, everything changes.","Business, Comedy, Romance, Drama",Hong Jong Chan,"Park Min Young, Kim Jae Wook, Ahn Bo Hyun, One, Kim Bo Ra, Park Jin Joo",#163
Age of Youth 2,2017,14,8.4,"Five girls in their 20s share a house called Belle Époque. A year has passed since “Hello, My Twenties 1.” Each of them got a job, went back to school, is still trying to get a boyfriend, or is getting over her first breakup. One day, a new student arrives at the house with a letter she stumbled upon. The letter is filled with curses against one of the girls at Belle Époque.","Mystery, Comedy, Romance, Life","Lee Tae Gon, Kim Sang Ho","Han Ye Ri, Han Seung Yeon, Park Eun Bin, Ji Woo, Choi A Ra, Kim Min Seok",#164
Secret,2013,16,8.4,"A man who does not believe in love, falls for a woman who has been hurt by it. Min Hyuk is wealthy, with everything but a good personality, He’s been enraged and consumed by the need for revenge, ever since he learnt his lover was the victim  of a hit-and-run accident. Yoo Jung takes the blame for her boyfriend, the actual driver at the time of the accident. In time, she will feel betrayed for having done so. Now in prison and in a state of despair, Jung still refuses to give up on life entirely.","Romance, Drama, Melodrama","Baek Sang Hoon, Lee Eung Bok","Ji Sung, Hwang Jung Eum, Bae Soo Bin, Lee Da Hee, Lee Deok Hwa, Jo Mi Ryung",#165
Military Prosecutor Doberman,2022,16,8.4,"Do Bae Man became military prosecutor only to make more money and be successful. On the other hand, Cha Woo In, recently joining Bae Man’s team, became one for her revenge. As these two different purposes shows, the two have very different backgrounds and personalities. However, as they work on the same case, Bae Man and Woo In help each other and even grow together as fine military prosecutors.","Action, Military, Mystery, Law",Jin Chang Gyu,"Ahn Bo Hyun, Jo Bo Ah, Oh Yeon Soo, Kim Young Min, Kim Woo Seok, Kang Mal Geum",#166
Pachinko,2022,8,8.4,This sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive.,"Historical, Romance, Drama, Melodrama","Kogonada, Justin Chon","Kim Min Ha, Youn Yuh Jung, Jin Ha, Lee Min Ho, Jeon Yu Na, Park So Hee",#167
My Roommate Is a Gumiho,2021,16,8.4,"Shin Woo Yeo is a handsome and smart writer, who is actually a 999-year-old nine-tailed fox. To become a human, he collects human energy in a bead. One day, the drunk friend of Lee Dam, a university student, falls asleep on top of an expensive car whose owner is Woo Yeo. While Lee Dam struggles to take her friend away and Woo Yeo trying to help her, Woo Yeo's bead accidentally falls out of his mouth, and Lee Dam unintentionally swallows it. The bead can exist inside of a human for no more than 1 year and, afterward, the bead will break inside of that person causing the person to die. Not wanting to lose his chance in becoming a human, Woo Yeo explains to Lee Dam their predicament and suggests living together until they figure out a solution. Lee Dam, who has never had a boyfriend in her life, now lives with Shin Woo Yeo.","Comedy, Romance, Fantasy",Nam Sung Woo,"Jang Ki Yong, Lee Hye Ri, Kang Han Na, Kim Do Wan, Bae In Hyuk, Park Kyung Hye",#168
Yumi's Cells 2,2022,14,8.4,"After suffering a painful breakup, Yu Mi’s love cells have shut down completely, but a chance meeting with the emotionally stunted game designer, Goo Woong, changes all of that. Waking up a number of each other’s cells, Yu Mi and Goo Woong find themselves drawing closer, but even with the revival of their long-dormant love cells, their relationship wasn’t destined to last. Now a much wiser and more mature individual, Yu Mi finds herself willing to take on a set of challenges after an unexpected source of inspiration ignites her internal fire. Inspired by her co-worker, Bobby Yoo, Yu Mi and her hard-working cells set out to make all of her dreams come true.","Comedy, Romance, Life",Lee Sang Yeob,"Kim Go Eun, Park Jin Young, Ahn Bo Hyun, Lee Yoo Bi, Mi Ram, Kwon Seung Woo",#169
My Country: The New Age,2019,16,8.4,"Set during the end of the Goryeo period to the early Joseon period. Two friends aim their swords against one another due to differences in opinion about ""my country."" Seo Hwi is a warrior. His father Seo Geom is a famous commander. Seo Hwi does not compromise when it comes to injustice. His life devolves into a hellish existence, but he still holds a smile. Nam Sun Ho is smart and a talented figure. Because his mother was born into the lowest class, Nam Sun Ho is looked down upon by other people. He wants to pass the military service examination. Due to a corruption scandal involving his father, Nam Sun Ho loses his dream. Making things worse, he comes into conflict with Seo Hwi over a misunderstanding.","Action, Historical, Romance, Drama",Kim Jin Won,"Yang Se Jong, Woo Do Hwan, Kim Seol Hyun, Jang Hyuk, Kim Yeong Cheol, Ahn Nae Sang",#170
Sell Your Haunted House,2021,16,8.4,"Ji Ah, a woman who has inherited exorcism abilities from her mother, is the owner of Daebak Realty, a company that specializes in selling haunted houses. Ji Ah looks perfect and is also brilliant, but her hot temper makes her fists fly before her words. One day, Ji Ah encounters a conman named In Beom who specializes in exorcism fraud. Late at night when Daebak Realty operates, In Beom visits Ji Ah to make an offer. He suggests that they team up to exclusively sell houses that are haunted by vengeful spirits and lingering ghosts. Can the two get along well and deal with house prices, ghosts, and their sorrowful stories?","Thriller, Mystery, Comedy, Fantasy",Park Jin Suk,"Jang Na Ra, Jung Yong Hwa, Kang Hong Suk, Kang Mal Geum, Baek Eun Hye, Ahn Kil Kang",#171
Player,2018,14,8.4,"A police redemption team consisting of a swindler, a fighter, an elite hacker, and a talented driver is asked to take back property hidden away by criminals. The driver, Cha Ah Ryung, grew up on the streets after being abandoned by her parents.","Action, Thriller, Mystery, Comedy",Go Jae Hyun,"Song Seung Heon, Krystal Jung, Lee Si Eon, Tae Won Seok, Kim Won Hae, Ahn Se Ho",#172
The Legend of the Blue Sea,2016,20,8.4,"How can a mermaid from the Joseon era survive in modern society? Shim Chung is a mermaid who follows her one true love, a nobleman’s son named Kim Ryung from the Joseon Dynasty, to modern-day Seoul. Ryung’s modern doppelgänger is Heo Joon Jae, a highly skilled scam artist who first becomes interested in Shim Chung because of a jade bracelet worth $6 million that Shim Chung wears. With nowhere to go, Shim Chung is taken in by Joon Jae, who also finds his con partners, Jo Nam Doo and Tae Oh, hiding out in his home from a vengeful past victim of their scams. Shim Chung discovers a rival for Joon Jae’s heart in Cha Shi Ah, a researcher at KAIST who deals with ancient artifacts. When a dangerous killer named Ma Dae Yeong, sent by Joon Jae’s stepmother who wants to make her own son the heir to Joon Jae’s fortunes, can Shim Chung survive her strange new environment while also helping Joon Jae avoid the dangers that await him?","Comedy, Romance, Drama, Fantasy",Jin Hyeok,"Lee Min Ho, Jun Ji Hyun, Lee Hee Joon, Shin  Won Ho, Shin Hye Sun, Moon So Ri",#173
Come and Hug Me,2018,32,8.4,"This is the story of a tragic love that spans 12 years. When they were children, Yoon Na Moo and Gil Nak Won were each others first love. They are forced to break apart when Na Moo's father Yoon Hee Jae, a psychopath serial killer, murders Nak Won's parents. 9 years later Yoon Na Moo is known as Chae Do Jin, a passionate and kind rookie detective wishing to atone for his father's sins. And Gil Nak Won is now Han Jae Yi, an aspiring actress following in the footsteps of her mother. She suffers from a panic disorder but still has a good outlook on life. However, the sadness of their past comes to light again and their short-lived encounter is over before it began. Another three years on, Jae Yi has become a popular actress and Do Jin is now an experienced detective. When their fate becomes connected once more, will their love prove to be stronger than their past?","Thriller, Mystery, Romance, Melodrama",Choi Joon Bae,"Jang Ki Yong, Jin Ki Joo, Heo Joon Ho, Yoon Jong Hoon, Kim Kyung Nam, Seo Jung Yeon",#174
Partners for Justice,2018,32,8.4,"Baek Beom has worked as a forensic doctor for 10 years, he is excellent with his work, but does not open his mind to other people. Eun Sol is a rookie prosecutor with a  bright personality and she comes from a wealthy family. The forensic scientist with a bad personality and a warm-hearted prosecutor must join forces in order to catch a serial killer.","Thriller, Mystery, Law, Medical",Noh Do Cheol,"Jung Jae Young, Jung Yoo Mi, Lee Yi Kyung, Park Eun Seok, Stephanie Lee, Joo Jin Mo",#175
Seasons of Blossom,2022,16,8.4,"A story of love and friendship between five high school students from Seoyeon High School. Lee Ha Min appears like a bright person, but there is also darkness within his mind. Han So Mang is a warm-hearted person, but she is also quite timid. Lee Jae Min is a popular student with a painful past. He is kind to everyone around him. Yoon Bo Mi is a sweet, model student. Choi Jin Young loves playing games. He can seem unfriendly and has a delicate personality.","Comedy, Romance, Youth, Drama",Wang Hye Ryung,"Seo Ji Hoon, So Ju Yeon, Kim Min Kyu, Kang Hye Won, Yoon Hyun Soo, Oh Yu Jin",#176
The Tale of Nokdu,2019,32,8.4,"Jeon Nok Du lives on an island with his father and older brother. He is smart and a good swordsman. Since he was little, his father did not let him study or go to the mainland. One day, his father and older brother are attacked by a group of female assassins. Jeon Nok Du chases after one of the assassins to the capital. During that time, Jeon Nok Du meets Dong Dong Ju. She wants to shoot the King with her arrow, but Jeon Nok Du saves her from trouble. Meanwhile, the assassin that Jeon Nok Du chases goes into a widowed village. To find out who and why his family was attacked, Jeon Nok Du disguises himself as a woman and enters the widow's village. There, he meets Dong Dong Ju again. She is an apprentice to become a gisaeng.","Action, Historical, Comedy, Romance","Kim Dong Hwi, Lee Hyun Jin, Kang Soo Yeon","Jang Dong Yoon, Kim So Hyun, Kang Tae Oh, Jung Joon Ho, Kim Tae Woo, Yoon Yoo Sun",#177
Psychopath Diary,2019,16,8.4,"Yook Dong Shik is a 34-year-old office worker who is so weak and timid that he is used by everybody around him. After an incident, he becomes the scapegoat of his company, and so facing losing his job and his family turning their back on him, he decides to commit suicide. While doing so, he unexpectedly stumbles across a murder scene, but gets into an accident while running from the murderer. He wakes up with amnesia with the psychopath's diary in his possession. With no clues to his true nature other than the diary, and his fragmented memory lining up with the diary entry, he begins to believe that he is in fact a psychopath serial killer. 30-year-old neighborhood police officer, Shim Bo Kyung is investigating a suspected serial homicide. After a few run-ins with Dong Shik, she believes that he is an extremely kind man. However, after one too many coincidences, she starts to suspect Dong Shik might be more involved in the case than she thought. 36-year-old Seo In Woo is a cold and meticulous psychopath. On the day of his 7th crime, things go wrong and he loses his diary where he writes of all his daily life and detailed description of his murders.","Thriller, Mystery, Comedy, Crime",Lee Jong Jae,"Yoon Shi Yoon, Jung In Sun, Park Sung Hoon, Lee  Han Wi, Hwang Geum Byul, Kim Kyul",#178
The Beauty Inside,2018,16,8.4,"Han Se Gye is a top actress, also known as a troublemaker, with many rumors around her. To others, her life appears as a mystery, when in fact she is faced with a strange occurrence where she must change into a different body and new identity for one week a month. She encounters Seo Do Jae, a brilliant man who is an executive at an airline company. He seems to have it all: a perfect appearance, knowledge, and a good job; but he has a secret too. He suffers from Prosopagnosia, the inability to recognize faces. However, he manages to hide this from the world, every day he makes an effort to remember people by their personalities. Seo Do Jae's life begins to change when he meets Han Se Gye. She is the only person whose face he can recognize. But with Han Se Gye's constant disappearance and change, how long can she keep her secret?","Comedy, Romance, Melodrama, Supernatural",Song Hyun Wook,"Seo Hyun Jin, Lee Min Ki, Lee Da Hee, Ahn Jae Hyun, Lee Tae Ri, Moon Ji In",#179
